Name,AKA,FamilyName,Importance,Gender,ParentOf,SpouseOrBetrothed,InLoveWith,ChildOf,Siblings,AcademyClassmates,CousinsWith,RunnerFor,ServedBy,PimRyala,KodlMarines,TaughtBy,AcademyTeacherFor
Indevan,Inda,Algara-Vayir,5,M,,,,,,,,,,,,,
Fareas Fera,Iofre Fareas,Algara-Vayir,3,F,Indevan Algara-Vayir (Inda),,,,,,,,,,,,
Jarend,Adaluin Jarend,Algara-Vayir,3,M,Indevan Algara-Vayir (Inda),,,,,,,,,,,,
Tanrid,,Algara-Vayir,4,M,Indevan Algara-Vayir (Inda),,,,,,,,,,,,
Hadand,,Algara-Vayir,4,F,Indevan Algara-Vayir (Inda),,,,,,,,,,,,
Branid,,Algara-Vayir,2,M,Indevan Algara-Vayir (Inda),,,,,,,,,,,,
Tdor,,Marth-Davan,4,F,Indevan Algara-Vayir (Inda),,,,,,,,,,,,
